Solyc01g100990	SlC3H13	Zinc finger transcription factor 13
Solyc01g101060	sam	S-adenosyl-L-methionine synthetase
Solyc01g101240	TOMAPP	aspartic protease precursor
Solyc01g102300	SlbHLH006	bHLH transcription factor 006
Solyc01g102380	mdip1	germin
Solyc01g102540	AF081021	hpoxia-induced protein 242
Solyc01g102580	cel3	endo-1,4-beta-glucanase (Cel3)
Solyc01g103090	SlC3H14	Zinc finger transcription factor 14
Solyc01g103240	SlMAPKKK9	MAP kinase kinase kinase 9
Solyc01g103370	rab1b	small GTP-binding protein B
Solyc01g103390	opr2	12-oxophytodienoate reductase 2
Solyc01g103780	SlTCP11	TCP transcription factor 11
Solyc01g103960	SlDEAH5	RNA helicase DEAH-box15
Solyc01g104340	Gr	green ripe
Solyc01g104340	ob5321-DQ372895	ob5321-green ripe DQ372895
Solyc01g104510	msi1	WD-40 repeat protein
Solyc01g104530	SlMAPKKK10	MAP kinase kinase kinase 10
Solyc01g104550	SlWRKY9	WRKY transcription factor 9
Solyc01g104590	rpl3	ribosomal protein L3
Solyc01g104680	ran2a	Ran protein/TC4 protein ran2a
Solyc01g104700	ran2b	Ran protein/TC4 protein ran2b
Solyc01g104950	xyl2	LEXYL2
Solyc01g105070	cevi16	LECEVI16G peroxidase precursor
Solyc01g105220	aox1a	alternative oxidase 2
Solyc01g105270	th2	LeTH2tobamovirus multiplication 1 homolog 2
Solyc01g105560	riba	GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase
Solyc01g105810	gdi1	GDP dissociation inhibitor
Solyc01g105880	MTS2	Monoterpenoid synthase 2
Solyc01g105890	MTS1	Monoterpene synthase 1
Solyc01g105960	Solyc01g105960	(E)-beta-ocimene synthase
Solyc01g106280	Virp1	PSTVd RNA-biding protein
Solyc01g106480	gmdh	glyoxisomal malate dehydrogenase
Solyc01g106610	pr1a1	LEPR1A1A
Solyc01g106800	aap1	amino acid transporter 1
Solyc01g107400	Solyc01g107400	IAA-amido synthetase
Solyc01g107730	cycd3c2	D-type cyclin-2
Solyc01g107820	TWI1	TOMATO WOUND-INDUCED 1
Solyc01g108240	Sl-ERF_D_3	Ethylene Response Factor D.3
Solyc01g108250	dem2	DEM2
Solyc01g108630	nii1	nii1 nitrite reductase
Solyc01g109140	des	divinyl ether synthase
Solyc01g109150	AF461042	cytochrome P450 CYP74C4
Solyc01g109160	CYP74C4	CYP74C4
Solyc01g109790	agps1	ADP-glucose pyrophosphorylase large subunit 1
Solyc01g110440	TOMARGDECA	arginine decarboxylase
Solyc01g110490	SlC3H15	Zinc finger transcription factor 15
Solyc01g110560	SlSAUR3	Small auxin up-regulated RNA3
Solyc01g110570	SlSAUR4	Small auxin up-regulated RNA4
Solyc01g110580	SlSAUR5	Small auxin up-regulated RNA5
Solyc01g110590	SlSAUR6	Small auxin up-regulated RNA6
Solyc01g110620	SlSAUR8	Small auxin up-regulated RNA8
Solyc01g110630	SlSAUR9	Small auxin up-regulated RNA9
Solyc01g110680	SlSAUR12	Small auxin up-regulated RNA12
Solyc01g110710	SlSAUR10	Small auxin up-regulated RNA10
Solyc01g110770	SAUR11	Small auxin up-regulated RNA11
Solyc01g110800	SlSAUR19	Small auxin up-regulated RNA19
Solyc01g110830	SlSAUR20	Small auxin up-regulated RNA20
Solyc01g110920	SlSAUR26	Small auxin up-regulated RNA26
Solyc01g110990	SlDEAH6	RNA helicase DEAH-box6
